[01:13:07.603468] 'ClassException' constructor (Location: 'Exceptions/ClassException.cs', Line: #15)
[01:13:07.679515] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #70)
[01:13:07.714884] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:07.732554] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:13:07.754729] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:07.775125] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[01:13:07.994661] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #59)
[01:13:08.016416] 'ToString' override function (Location: 'Bases/Base.cs', Line: #114)
[01:13:08.037068] 'ToString' override function (Location: 'Bases/Base.cs', Line: #114)
[01:13:08.062186] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #67)
[01:13:08.129347] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #59)
[01:13:08.152702] 'ToString' override function (Location: 'Bases/Base.cs', Line: #114)
[01:13:08.182113] 'ToString' override function (Location: 'Bases/Base.cs', Line: #114)
[01:13:08.212983] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #67)
[01:13:08.255183] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #70)
[01:13:08.294792] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:08.315552] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:13:08.348904] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:08.379760] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[01:13:08.607511] 'ToString' override function (Location: 'Bases/BaseIdentity.cs', Line: #59)
[01:13:08.636002] 'ToString' override function (Location: 'Bases/Base.cs', Line: #114)
[01:13:08.657906] 'ToString' override function (Location: 'Bases/Base.cs', Line: #114)
[01:13:08.677442] 'ToString' override function (Location: 'Bases/BaseID.cs', Line: #67)
[01:13:08.710322] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #70)
[01:13:08.748776] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:08.766688] 'BaseException' primary constructor (Location: 'Bases/BaseException.cs', Line: #38)
[01:13:08.785071] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[01:13:08.805580] 'PageException' constructor (Location: 'Exceptions/PageException.cs', Line: #15)
[01:13:09.436108] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #70)
[01:13:10.060039] 'ToString' override function (Location: 'Pages/Index.razor.cs', Line: #70)
[01:13:11.283705] 'SetParametersAsync' override function (Location: 'Pages/Index.razor.cs', Line: #47)
[01:13:11.306173] 'OnInitialized' override function (Location: 'Pages/Index.razor.cs', Line: #135)
[01:13:11.329852] 'OnInitializedAsync' override function (Location: 'Pages/Index.razor.cs', Line: #154)
[01:13:11.355184] 'OnParametersSet' override function (Location: 'Pages/Index.razor.cs', Line: #177)
[01:13:11.378698] 'OnParametersSetAsync' override function (Location: 'Pages/Index.razor.cs', Line: #196)
[01:13:11.411361] 'ToJSON' function (Location: 'Bases/Base.cs', Line: #143)
[01:13:11.631855] 'OnAfterRender' override function (Location: 'Pages/Index.razor.cs', Line: #93)
[01:13:11.663151] 'OnAfterRenderAsync' override function (Location: 'Pages/Index.razor.cs', Line: #112)
[13:11:52.335185] -=-=-=-=-=-=-=-=-=-= APPLICATION_NAME HAS STARTED =-=-=-=-=-=-=-=-=-=- (Location: 'ZData00/Program.cs', Line: #12)
[13:11:54.624039] 'Index' empty constructor (Location: 'Pages/Index.razor.cs', Line: #23)
[13:11:54.677736] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[13:11:54.709919] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[13:11:54.732775] 'Array' primary constructor (Location: 'Classes/Array.cs', Line: #38)
[13:11:54.758375] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[13:11:54.784082] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[13:11:54.808525] 'BaseName' primary constructor (Location: 'Bases/BaseName.cs', Line: #19)
[13:11:54.830803] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[13:11:54.852679] 'Range' primary constructor (Location: 'Values/Range.cs', Line: #55)
[13:11:54.879149] 'Base' primary constructor (Location: 'Bases/Base.cs', Line: #22)
[13:11:54.907093] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[13:11:54.938288] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #25)
[13:11:54.967726] 'PrimaryConstructorAttribute' empty constructor (Location: 'Attributes/PrimaryConstructorAttribute.cs', Line: #9)
[13:11:55.004440] 'BaseType' primary constructor (Location: 'Bases/BaseType.cs', Line: #131)
